,년(Annual),시도,시군구,계
0,년(Annual),시도,시군구,면적
1,2021,전국,전국,100
2,2021,서울,서울,591
3,2021,서울,종로구,23
4,2021,서울,중구,9
5,2021,서울,용산구,21
6,2021,서울,성동구,16
7,2021,서울,광진구,17
8,2021,서울,동대문구,14
9,2021,서울,중랑구,18
10,2021,서울,성북구,24
11,2021,서울,강북구,23
12,2021,서울,도봉구,20
13,2021,서울,노원구,35
14,2021,서울,은평구,29
15,2021,서울,서대문구,17
16,2021,서울,마포구,23
17,2021,서울,양천구,17
18,2021,서울,강서구,41
19,2021,서울,구로구,20
20,2021,서울,금천구,13
21,2021,서울,영등포구,24
22,2021,서울,동작구,16
23,2021,서울,관악구,29
24,2021,서울,서초구,46
25,2021,서울,강남구,39
26,2021,서울,송파구,33
27,2021,서울,강동구,24
28,2021,부산,부산,762
29,2021,부산,중구,2
30,2021,부산,서구,13
31,2021,부산,동구,9
32,2021,부산,영도구,14
33,2021,부산,부산진구,29
34,2021,부산,동래구,16
35,2021,부산,남구,26
36,2021,부산,북구,39
37,2021,부산,해운대구,51
38,2021,부산,사하구,41
39,2021,부산,금정구,65
40,2021,부산,강서구,181
41,2021,부산,연제구,12
42,2021,부산,수영구,10
43,2021,부산,사상구,36
44,2021,부산,기장군,218
45,2021,대구,대구,880
46,2021,대구,중구,7
47,2021,대구,동구,182
48,2021,대구,서구,17
49,2021,대구,남구,17
50,2021,대구,북구,93
51,2021,대구,수성구,76
52,2021,대구,달서구,62
53,2021,대구,달성군,426
54,2021,인천,인천,1062
55,2021,인천,중구,140
56,2021,인천,동구,7
57,2021,인천,미추홀구,24
58,2021,인천,연수구,56
59,2021,인천,남동구,57
60,2021,인천,부평구,32
61,2021,인천,계양구,45
62,2021,인천,서구,118
63,2021,인천,강화군,411
64,2021,인천,옹진군,172
65,2021,광주,광주,498
66,2021,광주,동구,49
67,2021,광주,서구,47
68,2021,광주,남구,60
69,2021,광주,북구,120
70,2021,광주,광산구,222
71,2021,대전,대전,537
72,2021,대전,동구,136
73,2021,대전,중구,62
74,2021,대전,서구,95
75,2021,대전,유성구,176
76,2021,대전,대덕구,68
77,2021,울산,울산,1061
78,2021,울산,중구,37
79,2021,울산,남구,73
80,2021,울산,동구,36
81,2021,울산,북구,157
82,2021,울산,울주군,758
83,2021,세종,합계,464
84,2021,세종특별자치시,세종특별자치시,464
85,2021,경기,경기,11508
86,2021,경기,수원시(계),121
87,2021,경기,수원시장안구,33
88,2021,경기,수원시권선구,47
89,2021,경기,수원시팔달구,12
90,2021,경기,수원시영통구,27
91,2021,경기,성남시(계),141
92,2021,경기,성남시수정구,45
93,2021,경기,성남시중원구,26
94,2021,경기,성남시분당구,69
95,2021,경기,의정부시,81
96,2021,경기,안양시(계),58
97,2021,경기,안양시만안구,36
98,2021,경기,안양시동안구,21
99,2021,경기,부천시,53
100,2021,경기,광명시,38
101,2021,경기,평택시,458
102,2021,경기,동두천시,95
103,2021,경기,안산시(계),156
104,2021,경기,안산시상록구,57
